habitaciones;banos;parqueaderos;area_construida;area_privada;estrato;estado;antiguedad;administracion;precio_m2;ascensor;circuito_cerrado_tv;parqueadero_visitantes;porteria-recepcion;zonas_verdes;salon_comunal;balcon;barra_estilo_americano;calentador;chimenea;citofono;cocina_integral;terraza;vigilancia;parques_cercanos;estudio;patio;bodega;nombre;ubicacion;precio
3;2;1;100;100;5;Bueno;16 a 30 anos;†440000;†5000000;1;1;0;0;0;0;1;0;1;0;1;1;0;0;0;1;0;1;Apartamento;Colina Campestre;500000000
1;2;1;72;72;5;No definida;mas de 30 anos;†140000;†5541666,67;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;Casa;La Calleja;399000000
4;3;1;102;102;5;Bueno;mas de 30 anos;†620000;†5098039,22;1;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;Apartamento;Alhambra;520000000
3;2;1;80,13;72;5;Excelente;1 a 8 anos;†357000;†6489454,64;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;1;Apartamento;Colina Campestre;520000000
2;1;0;52;52;3;No definida;16 a 30 anos;†70000;†4134615,38;0;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;Apartamento;Galerias;215000000
3;2;2;136;136;6;No definida;16 a 30 anos;†933000;†5882352,94;1;0;1;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;Apartamento;San Patricio;800000000
2;2;1;73,54;73;4;Excelente;16 a 30 anos;†266000;†4011422,36;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;1;0;0;Apartamento;El redil;295000000
3;5;6;390;800;5;Excelente;1 a 8 anos;†1050000;†6410256,41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Casa;San Jose de Bavaria;2500000000
2;2;1;93;93;5;Excelente;9 a 15 anos;†450000;†5913978,49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Cedritos;550000000
3;2;3;210;210;6;Bueno;16 a 30 anos;†1264000;†3714285,71;1;1;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;Apartamento;Chico Navarra;780000000
3;2;0;78;78;3;Excelente;9 a 15 anos;†130000;†3012820,51;0;1;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;Apartamento;Suba Compartir;235000000
9;6;1;418;0;3;Bueno;mas de 30 anos;0;†2153110,05;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;Casa;La espanola;900000000
3;3;2;116;116;5;Excelente;1 a 8 anos;†990000;†6293103,45;1;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;1;Apartamento;Santa Paula;730000000
5;4;2;460;250;4;No definida;mas de 30 anos;0;†2173913,04;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;Casa;Normand√≠a;1000000000
4;3;1;130;130;3;Excelente;menor a 1 ano;0;†2692307,69;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;Casa;Zona Noroccidente;350000000
2;2;2;66;66;6;Bueno;1 a 8 anos;†700000;†9393939,39;1;0;1;1;0;0;0;0;1;1;1;1;0;1;0;0;0;1;Apartamento;Santa Barbara;620000000
3;2;2;103;0;4;Excelente;menor a 1 ano;†370000;†6019417,48;1;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;Apartamento;Santa teresa;620000000
3;2;1;82;72;5;Excelente;mas de 30 anos;†549000;†5853658,54;1;1;0;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;Apartamento;Bella Suiza;480000000
2;3;2;133;133;6;No definida;16 a 30 anos;†910000;†5263157,89;1;1;0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;Apartamento;Santa Barbara;700000000
2;3;2;95;95;6;Excelente;16 a 30 anos;†545000;†5789473,68;1;1;0;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;Apartamento;Chico;550000000
4;4;2;156;147;6;Excelente;16 a 30 anos;†857000;†6794871,79;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;Casa;La Carolina;1060000000
3;2;1;58;53;3;No definida;mas de 30 anos;†180000;†4051724,14;0;0;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;Apartamento;Granada Norte;235000000
3;2;1;120;120;3;Bueno;16 a 30 anos;†195000;†2750000;0;1;1;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;Casa;Nuevo Techo;330000000
4;5;6;532;1.440;6;Excelente;1 a 8 anos;†1355000;†4323308,27;0;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;Casa;Guaymaral;2300000000
3;3;2;92;92;4;No definida;No definida;†440000;†5978260,87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Cedritos;550000000
2;2;1;80;80;6;Excelente;16 a 30 anos;†890000;†7437500;1;0;0;1;0;0;0;0;1;1;1;1;0;1;0;0;0;1;Apartamento;El Virrey;595000000
12;6;1;380;0;3;No definida;1 a 8 anos;0;†1184210,53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Casa;La andrea;450000000
3;2;1;60;60;3;Excelente;9 a 15 anos;†215000;†4833333,33;1;1;0;0;0;1;1;0;1;0;1;1;0;1;0;0;0;0;Apartamento;Sotavento;290000000
5;3;2;200;0;3;No definida;16 a 30 anos;0;†3750000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Casa;Paris gaitan;750000000
1;2;1;56;0;4;Excelente;1 a 8 anos;†700000;†8035714,29;1;1;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;Apartamento;Chapinero Alto;450000000
1;2;2;70;105;1;Excelente;9 a 15 anos;†320000;†7857142,86;1;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;Apartamento;Chico norte;550000000
5;4;1;176;176;3;No definida;mas de 30 anos;0;†2443181,82;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;Casa;San Andres II Sector;430000000
3;2;1;74;74;4;No definida;16 a 30 anos;†285000;†4189189,19;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Campanella;310000000
3;2;0;55;50;3;Excelente;9 a 15 anos;†109000;†4000000;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;1;0;Apartamento;Zona Noroccidente;220000000
3;2;1;68;68;4;No definida;menor a 1 ano;0;†5882352,94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Alsacia;400000000
11;6;2;320;320;3;Bueno;16 a 30 anos;0;†2187500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;Casa;Santa Rita;700000000
2;2;0;68;68;2;Excelente;menor a 1 ano;0;†2794117,65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Casa;Bosa La Paz;190000000
3;2;1;60;60;3;Excelente;9 a 15 anos;†215000;†4833333,33;1;1;0;0;0;1;1;0;1;0;1;1;0;1;0;0;0;0;Apartamento;Sotavento;290000000
3;2;0;95;9.353;4;Excelente;mas de 30 anos;†85000;†4052631,58;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;Apartamento;El Camp√≠n;385000000
3;3;1;90;90;3;Excelente;16 a 30 anos;†290000;†4833333,33;0;1;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;Apartamento;Metropolis;435000000
2;3;2;87;85;5;Excelente;1 a 8 anos;†745000;†5511494,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Pasadena;479500000
3;2;1;86;80;3;Excelente;1 a 8 anos;0;†3720930,23;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;Apartamento;Santa Matilde;320000000
3;3;2;120;120;6;Bueno;16 a 30 anos;†892000;†5816666,67;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;Apartamento;rosales;698000000
3;3;3;212;212;6;Bueno;mas de 30 anos;†1930000;†5613207,55;1;1;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;Apartamento;Chico Navarra;1190000000
4;3;2;275;275;5;Bueno;mas de 30 anos;†200000;†3490909,09;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;0;1;Casa;Pontevedra;960000000
4;3;2;120;110;5;Excelente;16 a 30 anos;†500000;†3332500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Bella suiza;399900000
3;3;3;191;191;6;Excelente;mas de 30 anos;†960000;†7068062,83;1;0;0;1;0;0;1;0;1;0;1;1;0;1;0;0;0;0;Apartamento;El Refugio;1350000000
2;2;1;59;59;3;Bueno;16 a 30 anos;†278500;†4322033,9;0;1;1;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;Apartamento;Prado Pinzon;255000000
1;1;1;40;40;3;Bueno;16 a 30 anos;†141000;†7000000;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;Apartamento;zona centro;280000000
2;2;2;70;61;4;No definida;menor a 1 ano;†420000;†7428571,43;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;Apartamento;Pardo rubio;520000000
3;2;1;65;65;4;Excelente;9 a 15 anos;†170000;†4152307,69;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;San Antonio Norte;269900000
2;1;1;63;63;4;No definida;mas de 30 anos;†387000;†3968253,97;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;Apartamento;Cedro Golf;250000000
3;2;0;110;110;3;No definida;No definida;0;†2181818,18;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;Apartamento;La Aurora;240000000
5;3;1;200;160;4;Bueno;mas de 30 anos;0;†3500000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;Casa;Palermo;700000000
3;3;2;120;120;6;No definida;16 a 30 anos;†688000;†5666666,67;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;Apartamento;Chico norte;680000000
3;3;1;75;67;4;Bueno;9 a 15 anos;†260000;†4600000;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;Apartamento;Villa alsacia;345000000
1;1;1;33;33;3;No definida;1 a 8 anos;†220000;†7272727,27;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;0;0;0;Apartamento;Chapinero central;240000000
3;2;0;51;51;2;Excelente;9 a 15 anos;†70000;†2350980,39;0;1;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;Apartamento;Bosa San Diego;119900000
2;1;1;49;0;3;No definida;16 a 30 anos;0;†5918367,35;0;1;0;1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;Apartamento;Tabora;290000000
3;2;0;55;50;3;Excelente;9 a 15 anos;†109000;†4000000;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;1;0;Apartamento;Zona Noroccidente;220000000
3;2;1;60;60;4;No definida;16 a 30 anos;†291000;†5666666,67;1;0;1;1;0;0;1;0;1;0;1;1;0;0;0;1;0;0;Apartamento;Usaquen;340000000
